Latitude,Longitude,Total Readings,English Count,Non-English Count,% Non-English,Top 3 Non-English,Normalized Shannon,Distance_to_CampusMartius_km,City,OCR text,OCR_text_count
42.4783246,-83.4674864,192,131,61,32%,"Spanish, German, Chinese",0.573,38.2149475447672,"Novi, MI",luna | 電話 | 便利 | シカゴ | デトロイト | 雪肌 | から | 子ども | する | kuru | レンタ,12
42.3207778,-83.1808599,249,213,36,15%,"Spanish, Hebrew, Chinese",0.287,11.10277879137613,"Dearborn, MI", jiu jitsu | avad | سواق | صنعاء | bamboozles,12
42.5508988,-83.0872736,174,145,29,17%,"Arabic, Korean",0.312,24.612266236226333,"Troy, MI",청가 | korean | العاملات | الهجرة | والسفر | خدمات | التر | al | chung | комат | гарабник | наным | kungfu | حلويات | شامية,16
42.271832,-83.492509,146,125,21,14%,"Arabic, Persian, Polish",0.396,37.26928598730204,Unknown,فارس | ماتحي | malahi | rozen | مانحي,5
42.3321115,-83.1860319,11,3,8,73%,"Arabic, Persian",0.968,11.461665801713515,"Dearborn, MI",ребер | نواع | الخضار | والبوت | بالمعرف | والحكة,6
42.5265658,-83.105857,58,39,19,33%,"Chinese, Japanese, Arabic",0.606,22.218043246650296,"Troy, MI",επ | 超級 | 餐具 | 百貨 | 超级市场 | china | أسواق | النور | sushi,9
42.5718551,-83.1271145,88,74,14,16%,"Chinese, Hindi, Japanese",0.365,27.519727786613544,"Troy, MI", pandan,5
42.3437405,-83.2046765,259,237,22,9%,Arabic,0.197,13.062880796283068,"Dearborn Heights, MI", cricket | hookah | استوای | الن | ها | ürgenticak,7
42.4028469,-83.0529649,37,32,5,14%,Arabic,0.388,7.939532405940456,"Hamtramck, MI",கக | agle | اليمن | معاهم,5
42.339767,-83.1766871,186,163,23,12%,Tamil,0.265,10.731210797925105,"Dearborn, MI",தங்கம் | بون | جوس | bonjus,4
42.5515242,-83.0713235,190,161,29,15%,"Arabic, Hungarian",0.339,24.538464587298268,"Troy, MI",dazz | الزيتو | cerar | بالجة في القوار | بالجة | في | القوار | حلويات | النخيل | لاوة | كنافة | كيك | آيس | كريم | كافيه | afghan | الافغاني,19
42.3266305,-83.2950338,110,100,10,9%,"Arabic, Chinese",0.202,20.43001398467121,Unknown,caesars | hookah | poultry | al,4
42.5502474,-83.0878711,192,161,31,16%,Arabic,0.295,24.5472236589726,"Troy, MI",청가 | korean | атнійні | hookah | العاملات | الهجرة | والسفر | خدمات | التر | al | chung | комат | гарабник | наным | kungfu | حلويات | شامية,17
42.3441755,-83.1712176,110,97,13,12%,"Arabic, Persian, Chinese",0.314,10.337791886547992,"Dearborn, MI", cedarland | عم | بلاد | الأرز | مطعم | الأن | wyder | منار,10
42.4683277,-83.3894439,10,10,1,10%,Hindi,0.0,31.994758906051384,"Novi, MI",,0
42.3439929,-83.1789609,189,157,32,17%,"Arabic, Persian",0.343,10.966176654553545,"Dearborn, MI",سالون | الرحاب | للرجال | سالون | الرحاب | للرجال,5
42.3947544,-83.056438,300,286,14,5%,Arabic,0.111,7.068813994639813,"Hamtramck, MI", даровая | al | angeles,3
